date,zipcode,time_block,traffic_volume,avg_travel_time
2012-02-06,10458,17,100.0,204.0
2012-02-06,10458,18,83.0,204.0
2012-02-06,10458,23,41.0,204.0
2012-02-06,10462,12,464.0,376.0
2012-02-06,10470,5,54.75,466.0
2012-02-06,10470,13,254.875,466.0
2012-02-06,10470,20,172.125,466.0
2012-02-06,10470,23,134.375,466.0
2012-02-07,10461,1,30.5,351.0
2012-02-07,10461,6,193.0,351.0
2012-02-07,10461,9,213.5,351.0
2012-02-07,10461,12,257.5,351.0
2012-02-07,10461,16,377.5,351.0
2012-02-07,10461,19,293.0,351.0
2012-02-07,10462,1,131.5,490.0
2012-02-07,10462,3,73.0,490.0
2012-02-07,10462,5,153.0,490.0
2012-02-07,10462,8,510.5,490.0
2012-02-07,10462,15,577.5,490.0
2012-02-07,10462,22,279.5,490.0
2012-02-07,10462,23,273.5,490.0
2012-02-07,10467,3,44.6,750.0
2012-02-07,10467,7,620.2,750.0
2012-02-07,10467,10,459.2,750.0
2012-02-08,10459,11,258.1,336.0
2012-02-08,10459,15,371.7,336.0
2012-02-08,10461,8,331.5,311.0
2012-02-08,10461,9,230.0,311.0
2012-02-08,10461,11,251.0,311.0
2012-02-08,10461,16,354.0,311.0
2012-02-08,10461,17,361.0,311.0
2012-02-08,10461,21,181.5,311.0
2012-02-08,10461,22,161.0,311.0
2012-02-08,11226,7,309.5,719.0
2012-02-08,11226,15,399.5,719.0
2012-02-08,11226,21,235.0,719.0
2012-02-08,11426,22,156.0,291.0
2012-02-08,11426,23,78.5,291.0
2012-02-09,10456,4,35.5,251.0
2012-02-09,10456,6,99.0,251.0
2012-02-09,10456,10,214.0,251.0
2012-02-09,10456,13,232.0,251.0
2012-02-09,10466,2,34.92307692307692,633.0
2012-02-09,10466,4,35.30769230769231,633.0
2012-02-09,10466,11,207.30769230769232,633.0
2012-02-09,10466,14,291.15384615384613,633.0
2012-02-09,10466,17,370.0,633.0
2012-02-09,10466,22,141.0,633.0
2012-02-09,10468,3,25.5,361.0
2012-02-09,10468,5,50.0,361.0
2012-02-09,10468,12,288.25,361.0
2012-02-09,10470,4,62.25,425.0
2012-02-09,10470,20,180.0,425.0
2012-02-09,10475,4,95.75,684.0
2012-02-09,10475,9,492.25,684.0
2012-02-09,10475,11,422.25,684.0
2012-02-09,10475,22,248.75,684.0
2012-02-09,11201,18,596.0,493.0
2012-02-09,11368,3,17.0,173.0
2012-02-09,11368,14,202.0,173.0
2012-02-09,11385,15,467.5,300.0
2012-02-09,11385,16,499.5,300.0
2012-02-09,11385,21,223.5,300.0
2012-02-09,11432,1,45.0,398.0
2012-02-09,11432,3,17.5,398.0
2012-02-09,11432,11,401.0,398.0
2012-02-09,11432,17,652.5,398.0
2012-02-09,11432,21,273.5,398.0
2012-02-09,11432,22,242.0,398.0
2012-02-09,11435,8,965.0,529.0
2012-02-09,11435,15,694.75,529.0
2012-02-09,11435,20,474.0,529.0
2012-02-10,10451,1,142.5,307.0
2012-02-10,10451,3,73.0,307.0
2012-02-10,10451,6,226.0,307.0
2012-02-10,10451,7,503.0,307.0
2012-02-10,10451,9,564.5,307.0
2012-02-10,10451,12,300.5,307.0
2012-02-10,10451,14,0.0,307.0
2012-02-10,10456,2,60.0,289.0
2012-02-10,10456,7,238.5,289.0
2012-02-10,10456,8,327.0,289.0
2012-02-10,10456,9,266.5,289.0
2012-02-10,10456,11,192.0,289.0
2012-02-10,10456,12,125.0,289.0
2012-02-10,10456,17,0.0,289.0
2012-02-10,10456,21,0.0,289.0
2012-02-10,10458,8,242.66666666666666,205.0
2012-02-10,10458,9,71.0,205.0
2012-02-10,10458,13,21.0,205.0
2012-02-10,10462,2,105.0,357.0
2012-02-10,10462,4,134.0,357.0
2012-02-10,10462,8,484.5,357.0
2012-02-10,10470,5,67.75,238.0
2012-02-10,10470,10,116.25,238.0
2012-02-10,10470,21,191.5,238.0
2012-02-10,11207,0,692.0,257.0
2012-02-10,11207,1,402.0,257.0
2012-02-10,11207,2,256.0,257.0
2012-02-10,11207,13,1753.0,257.0
2012-02-10,11226,13,370.0,467.0
2012-02-10,11226,14,402.0,467.0
2012-02-10,11226,21,286.0,467.0
2012-02-10,11226,22,245.5,467.0
2012-02-10,11432,6,176.5,453.0
2012-02-10,11432,12,250.5,453.0
2012-02-10,11432,14,0.0,453.0
2012-02-10,11432,16,0.0,453.0
2012-02-10,11432,20,0.0,453.0
2012-02-10,11432,23,0.0,453.0
2012-02-10,11434,4,44.0,11.0
2012-02-10,11434,11,582.5,11.0
2012-02-10,11434,17,913.5,11.0
2012-02-11,10458,0,21.0,320.0
2012-02-11,10458,8,128.0,320.0
2012-02-11,10458,9,18.0,320.0
2012-02-11,10461,9,217.5,155.0
2012-02-11,10461,13,363.5,155.0
2012-02-11,10461,14,364.0,155.0
2012-02-11,10461,17,326.0,155.0
2012-02-11,10461,21,204.5,155.0
2012-02-11,10461,22,190.0,155.0
2012-02-11,11207,2,475.0,235.0
2012-02-11,11207,5,373.0,235.0
2012-02-11,11207,9,1239.0,235.0
2012-02-11,11207,12,1690.0,235.0
2012-02-11,11207,13,1807.0,235.0
2012-02-11,11207,16,2410.0,235.0
